colors,R,G,B,color_mapped
#87A96B,135,169,107,그레이
#87413F,135,65,63,브라운
#8F00FF,143,0,255,바이올렛
#8A2BE2,138,43,226,바이올렛
#8A3324,138,51,36,브라운
#8B0000,139,0,0,버건디
#8806CE,136,6,206,바이올렛
#86608E,134,96,142,그레이
#87421F,135,66,31,브라운
#841B2D,132,27,45,버건디
#848482,132,132,130,그레이
#856088,133,96,136,그레이
#7FFF00,127,255,0,라임
#7CB9E8,124,185,232,스카이블루
#81613C,129,97,60,브라운
#702963,112,41,99,퍼플
#7B3F00,123,63,0,브라운
#7FFFD4,127,255,212,스카이블루
#856D4D,133,109,77,그레이
#800020,128,0,32,버건디
#7E5E60,126,94,96,그레이
#801818,128,24,24,버건디
#7C0A02,124,10,2,버건디
#7F1734,127,23,52,버건디
#77B5FE,119,181,254,스카이블루
#7DF9FF,125,249,255,스카이블루
#79443B,121,68,59,브라운
#6F4E37,111,78,55,카키
#72A0C1,114,160,193,라벤더
#7366BD,115,102,189,라벤더
#7BB661,123,182,97,그레이
#703642,112,54,66,차콜
#6495ED,100,149,237,스카이블루
#6F00FF,111,0,255,바이올렛
#6C3082,108,48,130,퍼플
#6699CC,102,153,204,라벤더
#6C541E,108,84,30,브라운
#660000,102,0,0,버건디
#6D9BC3,109,155,195,라벤더
#696969,105,105,105,그레이
#66FF00,102,255,0,라임
#5F9EA0,95,158,160,그레이
#666699,102,102,153,그레이
#58427C,88,66,124,차콜
#592720,89,39,32,카키
#614051,97,64,81,차콜
#5D3954,93,57,84,차콜
#665D1E,102,93,30,카키
#5FA777,95,167,119,그레이
#654321,101,67,33,카키
#568203,86,130,3,올리브
#5DADEC,93,173,236,스카이블루
#536878,83,104,120,그레이
#543D37,84,61,55,차콜
#4B3621,75,54,33,카키
#50C878,80,200,120,민트
#56A0D3,86,160,211,터쿼이즈
#536872,83,104,114,그레이
#534B4F,83,75,79,차콜
#563C5C,86,60,92,차콜
#556B2F,85,107,47,카키
#54626F,84,98,111,차콜
#5072A7,80,114,167,그레이
#555D50,85,93,80,차콜
#555555,85,85,85,차콜
#4B5320,75,83,32,카키
#4D5D53,77,93,83,차콜
#4F7942,79,121,66,카키
#4A5D23,74,93,35,카키
#483C32,72,60,50,차콜
#4D1A7F,77,26,127,퍼플
#4A646C,74,100,108,차콜
#483D8B,72,61,139,차콜
#3D0C02,61,12,2,블랙
#3D2B1F,61,43,31,카키
